"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-01-13 06:21:00,1014.70,51.0,30.4,44,2,72,1013.97,26.0,28.6,100,0.8,20
2017-01-13 06:26:00,1014.70,50.0,29.5,44,1,74,1013.97,26.0,28.6,100,0.8,20
2017-01-13 06:31:00,1014.70,50.0,29.5,44,1,76,1013.96,26.0,28.6,100,0.8,20
2017-01-13 06:36:00,1014.70,50.0,29.5,44,1,76,1013.05,26.0,28.6,100,0.8,20
2017-01-13 06:41:00,1014.70,50.0,30.0,45,1,76,1013.05,26.0,28.6,100,0.8,20
2017-01-13 06:46:00,1014.70,50.0,30.0,45,0,76,1013.06,26.0,28.6,100,0.8,20
2017-01-13 06:51:00,1014.70,49.0,29.1,45,0,0,1014.76,24.4,28.4,100,0.9,20
2017-01-13 06:56:00,1014.70,49.0,29.1,45,0,76,1014.76,24.4,28.4,100,0.9,14
2017-01-13 07:01:00,1014.80,49.0,28.6,44,1,76,1014.55,24.4,28.4,100,0.9,14
2017-01-13 07:06:00,1015.00,49.0,28.1,44,1,76,1014.26,24.4,28.4,100,0.9,14
2017-01-13 07:11:00,1014.80,49.0,28.1,44,0,76,1013.18,24.4,28.4,100,0.9,14
2017-01-13 07:16:00,1015.00,49.0,29.1,45,0,0,1013.18,24.4,28.4,100,0.9,20
2017-01-13 07:26:00,1014.70,48.0,28.2,46,0,0,1013.18,24.4,28.4,100,0.9,20
2017-01-13 07:31:00,1014.70,48.0,28.7,46,0,0,1013.16,24.4,28.4,100,0.9,20
2017-01-13 07:36:00,1014.70,48.0,28.7,46,0,76,1013.16,24.4,28.4,100,0.9,14
2017-01-13 07:41:00,1014.70,47.0,27.8,47,0,76,1013.16,24.4,28.4,100,0.9,14
2017-01-13 07:46:00,1014.70,47.0,27.8,47,0,76,1013.16,24.4,28.4,100,0.9,14
2017-01-13 07:51:00,1014.70,47.0,28.3,48,0,76,1014.94,23.4,28.8,100,0.5,119
2017-01-13 08:02:00,1014.80,47.0,27.8,47,1,76,1014.34,23.4,28.8,100,0.4,119
2017-01-13 08:07:00,1014.70,47.0,27.8,47,1,76,1014.34,23.4,28.8,100,0.4,119
2017-01-13 08:12:00,1014.70,47.0,27.3,46,0,76,1014.34,23.4,28.8,100,0.5,119
2017-01-13 08:42:00,1014.60,47.0,25.7,43,0,76,1012.83,23.4,28.8,100,0.5,119
2017-01-13 08:47:00,1014.60,47.0,26.2,43,0,76,1012.83,23.4,28.8,100,0.5,119
2017-01-13 08:52:00,1014.50,47.0,26.2,43,0,76,1014.34,23.1,27.9,100,0.7,33
2017-01-13 08:57:00,1014.50,47.0,26.2,43,0,0,1014.34,23.5,27.9,100,0.7,38
